<!-- This file is auto-generated. Do not edit it manually! -->

# Koobiq Icons — Full Reference

## Format

| <name>                                   | sizes: <sizes>            | tags: <tags>                                                                                                                                                                                              | react: <import>                                                                        | angular: <import>                                                                                                                              | deprecated-aliases: <old names, if renamed> |
| ---------------------------------------- | ------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------- |
| 3-columns                                | sizes: 16, 24, 32         | tags: колонки                                                                                                                                                                                             | react: import { Icon3Columns16 } from '@koobiq/react-icons'                            | angular: import { Kbq3Columns16 } from '@koobiq/angular-icons' (selector: kbq3Columns16)                                                       |
| arrow-left-to-line                       | sizes: 16, 24             | tags: terminal, влево, стрелка, терминал                                                                                                                                                                  | react: import { IconArrowLeftToLine16 } from '@koobiq/react-icons'                     | angular: import { KbqArrowLeftToLine16 } from '@koobiq/angular-icons' (selector: kbqArrowLeftToLine16)                                         |
| arrow-pointer                            | sizes: 16, 24             | tags: arrow, click, cursor, dns, network, pointer, url, курсор, сеть, стрелка, указатель                                                                                                                  | react: import { IconArrowPointer16 } from '@koobiq/react-icons'                        | angular: import { KbqArrowPointer16 } from '@koobiq/angular-icons' (selector: kbqArrowPointer16)                                               |
| arrow-right                              | sizes: 16, 24             | tags: forward, вперед, вправо, стрелка                                                                                                                                                                    | react: import { IconArrowRight16 } from '@koobiq/react-icons'                          | angular: import { KbqArrowRight16 } from '@koobiq/angular-icons' (selector: kbqArrowRight16)                                                   |
| arrow-right-arrow-left                   | sizes: 16, 24             | tags: change, exchange, swap, switch, обмен, переключить, стрелки                                                                                                                                         | react: import { IconArrowRightArrowLeft16 } from '@koobiq/react-icons'                 | angular: import { KbqArrowRightArrowLeft16 } from '@koobiq/angular-icons' (selector: kbqArrowRightArrowLeft16)                                 |
| arrow-right-from-arc                     | sizes: 16, 24             | tags: interface, out, вправо, выход, дуга, интерфейс, стрелка                                                                                                                                             | react: import { IconArrowRightFromArc16 } from '@koobiq/react-icons'                   | angular: import { KbqArrowRightFromArc16 } from '@koobiq/angular-icons' (selector: kbqArrowRightFromArc16)                                     |
| arrow-right-from-bracket                 | sizes: 16, 24             | tags: —                                                                                                                                                                                                   | react: import { IconArrowRightFromBracket16 } from '@koobiq/react-icons'               | angular: import { KbqArrowRightFromBracket16 } from '@koobiq/angular-icons' (selector: kbqArrowRightFromBracket16)                             |
| arrow-right-from-rectangle               | sizes: 16, 24             | tags: exit, logout, out, выйти, выход, наружу, стрелка                                                                                                                                                    | react: import { IconArrowRightFromRectangle16 } from '@koobiq/react-icons'             | angular: import { KbqArrowRightFromRectangle16 } from '@koobiq/angular-icons' (selector: kbqArrowRightFromRectangle16)                         |
| arrow-right-s                            | sizes: 16, 24             | tags: angle, small, вправо, маленькая, маленький, стрелка, шеврон                                                                                                                                         | react: import { IconArrowRightS16 } from '@koobiq/react-icons'                         | angular: import { KbqArrowRightS16 } from '@koobiq/angular-icons' (selector: kbqArrowRightS16)                                                 |
| arrow-right-through-line                 | sizes: 16, 24             | tags: cross, file, line, passed, through, вправо, линия, пройден, сквозь, стрелка, файл                                                                                                                   | react: import { IconArrowRightThroughLine16 } from '@koobiq/react-icons'               | angular: import { KbqArrowRightThroughLine16 } from '@koobiq/angular-icons' (selector: kbqArrowRightThroughLine16)                             |
| arrow-right-to-arc                       | sizes: 16, 24             | tags: in, interface, в, вправо, дуга, интерфейс, стрелка                                                                                                                                                  | react: import { IconArrowRightToArc16 } from '@koobiq/react-icons'                     | angular: import { KbqArrowRightToArc16 } from '@koobiq/angular-icons' (selector: kbqArrowRightToArc16)                                         |
| arrow-right-to-bracket                   | sizes: 16, 24             | tags: —                                                                                                                                                                                                   | react: import { IconArrowRightToBracket16 } from '@koobiq/react-icons'                 | angular: import { KbqArrowRightToBracket16 } from '@koobiq/angular-icons' (selector: kbqArrowRightToBracket16)                                 |
| arrow-right-to-line                      | sizes: 16, 24             | tags: terminal, вправо, стрелка, терминал                                                                                                                                                                 | react: import { IconArrowRightToLine16 } from '@koobiq/react-icons'                    | angular: import { KbqArrowRightToLine16 } from '@koobiq/angular-icons' (selector: kbqArrowRightToLine16)                                       |
| arrow-right-to-rectangle                 | sizes: 16, 24             | tags: enter, login, вход, логин                                                                                                                                                                           | react: import { IconArrowRightToRectangle16 } from '@koobiq/react-icons'               | angular: import { KbqArrowRightToRectangle16 } from '@koobiq/angular-icons' (selector: kbqArrowRightToRectangle16)                             |
| arrow-rotate-left                        | sizes: 16, 24             | tags: refresh, update, обновить, обновление                                                                                                                                                               | react: import { IconArrowRotateLeft16 } from '@koobiq/react-icons'                     | angular: import { KbqArrowRotateLeft16 } from '@koobiq/angular-icons' (selector: kbqArrowRotateLeft16)                                         |
| arrow-rotate-left-badge-linux            | sizes: 16, 24             | tags: linux, refresh, reload, линукс, перезагрузка                                                                                                                                                        | react: import { IconArrowRotateLeftBadgeLinux16 } from '@koobiq/react-icons'           | angular: import { KbqArrowRotateLeftBadgeLinux16 } from '@koobiq/angular-icons' (selector: kbqArrowRotateLeftBadgeLinux16)                     |
| arrow-rotate-left-badge-windows          | sizes: 16                 | tags: —                                                                                                                                                                                                   | react: import { IconArrowRotateLeftBadgeWindows16 } from '@koobiq/react-icons'         | angular: import { KbqArrowRotateLeftBadgeWindows16 } from '@koobiq/angular-icons' (selector: kbqArrowRotateLeftBadgeWindows16)                 |                                             | deprecated-aliases: windows-arrow-rotate-left (renamed — do not use, replace with "arrow-rotate-left-badge-windows")             |
| arrow-rotate-right                       | sizes: 16, 24             | tags: refresh, reload, retry, обновить, перезагрузка, повторить                                                                                                                                           | react: import { IconArrowRotateRight16 } from '@koobiq/react-icons'                    | angular: import { KbqArrowRotateRight16 } from '@koobiq/angular-icons' (selector: kbqArrowRotateRight16)                                       |
| arrow-rotate-right-dot                   | sizes: 16, 24             | tags: analysis, dot, refresh, reload, retro, анализ, перезагрузка, ретро, точка                                                                                                                           | react: import { IconArrowRotateRightDot16 } from '@koobiq/react-icons'                 | angular: import { KbqArrowRotateRightDot16 } from '@koobiq/angular-icons' (selector: kbqArrowRotateRightDot16)                                 |
| arrow-turn-down-left                     | sizes: 16, 24             | tags: enter, ввод                                                                                                                                                                                         | react: import { IconArrowTurnDownLeft16 } from '@koobiq/react-icons'                   | angular: import { KbqArrowTurnDownLeft16 } from '@koobiq/angular-icons' (selector: kbqArrowTurnDownLeft16)                                     |
| arrow-turn-down-right                    | sizes: 16, 24             | tags: child, enter, link, ввод                                                                                                                                                                            | react: import { IconArrowTurnDownRight16 } from '@koobiq/react-icons'                  | angular: import { KbqArrowTurnDownRight16 } from '@koobiq/angular-icons' (selector: kbqArrowTurnDownRight16)                                   |
| arrow-up                                 | sizes: 16, 24             | tags: large, up, большая, вверх, стрелка                                                                                                                                                                  | react: import { IconArrowUp16 } from '@koobiq/react-icons'                             | angular: import { KbqArrowUp16 } from '@koobiq/angular-icons' (selector: kbqArrowUp16)                                                         |
| arrow-up-arrow-down                      | sizes: 16, 24             | tags: both, directions, sort, sorting, направления, оба, сортировка                                                                                                                                       | react: import { IconArrowUpArrowDown16 } from '@koobiq/react-icons'                    | angular: import { KbqArrowUpArrowDown16 } from '@koobiq/angular-icons' (selector: kbqArrowUpArrowDown16)                                       |
| arrow-up-arrow-down-dot                  | sizes: 16, 24             | tags: active, both, directions, sort, sorting, активно, направления, оба, сортировать, сортировка                                                                                                         | react: import { IconArrowUpArrowDownDot16 } from '@koobiq/react-icons'                 | angular: import { KbqArrowUpArrowDownDot16 } from '@koobiq/angular-icons' (selector: kbqArrowUpArrowDownDot16)                                 |
| arrow-up-from-bracket                    | sizes: 16, 24             | tags: —                                                                                                                                                                                                   | react: import { IconArrowUpFromBracket16 } from '@koobiq/react-icons'                  | angular: import { KbqArrowUpFromBracket16 } from '@koobiq/angular-icons' (selector: kbqArrowUpFromBracket16)                                   |
| arrow-up-from-line                       | sizes: 16, 24             | tags: —                                                                                                                                                                                                   | react: import { IconArrowUpFromLine16 } from '@koobiq/react-icons'                     | angular: import { KbqArrowUpFromLine16 } from '@koobiq/angular-icons' (selector: kbqArrowUpFromLine16)                                         |
| arrow-up-from-rectangle                  | sizes: 16, 24             | tags: share, upload, вверх, поделиться, прямоугольник, стрелка                                                                                                                                            | react: import { IconArrowUpFromRectangle16 } from '@koobiq/react-icons'                | angular: import { KbqArrowUpFromRectangle16 } from '@koobiq/angular-icons' (selector: kbqArrowUpFromRectangle16)                               |
| arrow-up-left                            | sizes: 16, 24             | tags: parent link, trend, вверх, влево, подъем, родительская ссылка, рост, стрелка, тренд                                                                                                                 | react: import { IconArrowUpLeft16 } from '@koobiq/react-icons'                         | angular: import { KbqArrowUpLeft16 } from '@koobiq/angular-icons' (selector: kbqArrowUpLeft16)                                                 |
| arrow-up-right                           | sizes: 16, 24             | tags: trend, вверх, вправо, подъем, рост, стрелка, тренд                                                                                                                                                  | react: import { IconArrowUpRight16 } from '@koobiq/react-icons'                        | angular: import { KbqArrowUpRight16 } from '@koobiq/angular-icons' (selector: kbqArrowUpRight16)                                               |
| arrow-up-right-from-square               | sizes: 16, 24             | tags: external, link, open, внешний, внешняя, открыть, ссылка                                                                                                                                             | react: import { IconArrowUpRightFromSquare16 } from '@koobiq/react-icons'              | angular: import { KbqArrowUpRightFromSquare16 } from '@koobiq/angular-icons' (selector: kbqArrowUpRightFromSquare16)                           |
| arrow-up-s                               | sizes: 16, 24             | tags: angle, small, вверх, маленькая, маленький, наверх, стрелка, шеврон                                                                                                                                  | react: import { IconArrowUpS16 } from '@koobiq/react-icons'                            | angular: import { KbqArrowUpS16 } from '@koobiq/angular-icons' (selector: kbqArrowUpS16)                                                       |
| arrow-up-to-bracket                      | sizes: 16, 24             | tags: share, поделиться                                                                                                                                                                                   | react: import { IconArrowUpToBracket16 } from '@koobiq/react-icons'                    | angular: import { KbqArrowUpToBracket16 } from '@koobiq/angular-icons' (selector: kbqArrowUpToBracket16)                                       |
| arrow-up-xs                              | sizes: 16, 24             | tags: extra small, sort, up, вверх, очень маленькая, стрелка                                                                                                                                              | react: import { IconArrowUpXs16 } from '@koobiq/react-icons'                           | angular: import { KbqArrowUpXs16 } from '@koobiq/angular-icons' (selector: kbqArrowUpXs16)                                                     |
| arrows-collapse-diagonal                 | sizes: 16, 24             | tags: collapse, diagonal, shrink, диагонально, диагональный, свернуть, стрелки, уменьшить                                                                                                                 | react: import { IconArrowsCollapseDiagonal16 } from '@koobiq/react-icons'              | angular: import { KbqArrowsCollapseDiagonal16 } from '@koobiq/angular-icons' (selector: kbqArrowsCollapseDiagonal16)                           |
| arrows-down-up                           | sizes: 16, 24             | tags: collapse, свернуть, стрелки                                                                                                                                                                         | react: import { IconArrowsDownUp16 } from '@koobiq/react-icons'                        | angular: import { KbqArrowsDownUp16 } from '@koobiq/angular-icons' (selector: kbqArrowsDownUp16)                                               |
| arrows-expand-diagonal                   | sizes: 16, 24             | tags: диагонально, развернуть, расширить, стрелки, увеличить                                                                                                                                              | react: import { IconArrowsExpandDiagonal16 } from '@koobiq/react-icons'                | angular: import { KbqArrowsExpandDiagonal16 } from '@koobiq/angular-icons' (selector: kbqArrowsExpandDiagonal16)                               |
| arrows-left                              | sizes: 16, 24             | tags: steps, влево, стрелки, шаги                                                                                                                                                                         | react: import { IconArrowsLeft16 } from '@koobiq/react-icons'                          | angular: import { KbqArrowsLeft16 } from '@koobiq/angular-icons' (selector: kbqArrowsLeft16)                                                   |
| arrows-left-right-rectangle-horizontal-o | sizes: 16, 24             | tags: direction, switch, направление, переключение, стрелки                                                                                                                                               | react: import { IconArrowsLeftRightRectangleHorizontalO16 } from '@koobiq/react-icons' | angular: import { KbqArrowsLeftRightRectangleHorizontalO16 } from '@koobiq/angular-icons' (selector: kbqArrowsLeftRightRectangleHorizontalO16) |
| arrows-left-right-to-line                | sizes: 16, 24             | tags: terminal, zoom to fit, вписать, зум, стрелки, терминал                                                                                                                                              | react: import { IconArrowsLeftRightToLine16 } from '@koobiq/react-icons'               | angular: import { KbqArrowsLeftRightToLine16 } from '@koobiq/angular-icons' (selector: kbqArrowsLeftRightToLine16)                             |
| arrows-retweet                           | sizes: 16, 24             | tags: clipboard, repeat, retweet, повтор, ретвит                                                                                                                                                          | react: import { IconArrowsRetweet16 } from '@koobiq/react-icons'                       | angular: import { KbqArrowsRetweet16 } from '@koobiq/angular-icons' (selector: kbqArrowsRetweet16)                                             |
| arrows-right                             | sizes: 16, 24             | tags: steps, вправо, стрелки, шаги                                                                                                                                                                        | react: import { IconArrowsRight16 } from '@koobiq/react-icons'                         | angular: import { KbqArrowsRight16 } from '@koobiq/angular-icons' (selector: kbqArrowsRight16)                                                 |
| arrows-rotate                            | sizes: 16, 24, 48         | tags: spinner, sync, синхронизация, спиннер                                                                                                                                                               | react: import { IconArrowsRotate16 } from '@koobiq/react-icons'                        | angular: import { KbqArrowsRotate16 } from '@koobiq/angular-icons' (selector: kbqArrowsRotate16)                                               |
| arrows-rotate-bolt                       | sizes: 16, 24             | tags: alert, arrows rotate reverse, bolt, lightning, process, spinner, sync, молния, предупреждение, синхронизация, спиннер                                                                               | react: import { IconArrowsRotateBolt16 } from '@koobiq/react-icons'                    | angular: import { KbqArrowsRotateBolt16 } from '@koobiq/angular-icons' (selector: kbqArrowsRotateBolt16)                                       |
| arrows-rotate-reverse                    | sizes: 16, 24             | tags: refresh, update, обновить                                                                                                                                                                           | react: import { IconArrowsRotateReverse16 } from '@koobiq/react-icons'                 | angular: import { KbqArrowsRotateReverse16 } from '@koobiq/angular-icons' (selector: kbqArrowsRotateReverse16)                                 |
| arrows-rotate-reverse-slash              | sizes: 16, 24             | tags: off, refresh, обновление, отключить                                                                                                                                                                 | react: import { IconArrowsRotateReverseSlash16 } from '@koobiq/react-icons'            | angular: import { KbqArrowsRotateReverseSlash16 } from '@koobiq/angular-icons' (selector: kbqArrowsRotateReverseSlash16)                       |
| arrows-rotate-slash                      | sizes: 16, 24             | tags: off, sync, отключить, синхронизация                                                                                                                                                                 | react: import { IconArrowsRotateSlash16 } from '@koobiq/react-icons'                   | angular: import { KbqArrowsRotateSlash16 } from '@koobiq/angular-icons' (selector: kbqArrowsRotateSlash16)                                     |
| arrows-up                                | sizes: 16, 24             | tags: importance-1, steps, вверх, наверх, стрелки, шаги                                                                                                                                                   | react: import { IconArrowsUp16 } from '@koobiq/react-icons'                            | angular: import { KbqArrowsUp16 } from '@koobiq/angular-icons' (selector: kbqArrowsUp16)                                                       |
| arrows-up-down                           | sizes: 16, 24             | tags: expand, sort, sorting, развернуть, расширить, сортировка, увеличить                                                                                                                                 | react: import { IconArrowsUpDown16 } from '@koobiq/react-icons'                        | angular: import { KbqArrowsUpDown16 } from '@koobiq/angular-icons' (selector: kbqArrowsUpDown16)                                               |
| asterisk                                 | sizes: 16, 24             | tags: star, symbol, system, type, звезда, звездочка, знак, контур, система, тип                                                                                                                           | react: import { IconAsterisk16 } from '@koobiq/react-icons'                            | angular: import { KbqAsterisk16 } from '@koobiq/angular-icons' (selector: kbqAsterisk16)                                                       |
| astra-linux                              | sizes: 16, 24             | tags: logo                                                                                                                                                                                                | react: import { IconAstraLinux16 } from '@koobiq/react-icons'                          | angular: import { KbqAstraLinux16 } from '@koobiq/angular-icons' (selector: kbqAstraLinux16)                                                   |
| aurora-os                                | sizes: 16, 24             | tags: logo, логотип                                                                                                                                                                                       | react: import { IconAuroraOs16 } from '@koobiq/react-icons'                            | angular: import { KbqAuroraOs16 } from '@koobiq/angular-icons' (selector: kbqAuroraOs16)                                                       |
| backward                                 | sizes: 16, 24             | tags: previous, rewind, назад, перемотка, предыдущий                                                                                                                                                      | react: import { IconBackward16 } from '@koobiq/react-icons'                            | angular: import { KbqBackward16 } from '@koobiq/angular-icons' (selector: kbqBackward16)                                                       |
| backward-step                            | sizes: 16, 24             | tags: previous, rewind, назад, перемотка, предыдущий, шаг                                                                                                                                                 | react: import { IconBackwardStep16 } from '@koobiq/react-icons'                        | angular: import { KbqBackwardStep16 } from '@koobiq/angular-icons' (selector: kbqBackwardStep16)                                               |
| ban                                      | sizes: 16, 24             | tags: block, prohibit, unavailable, блокировать, запрет, запретить, недоступно                                                                                                                            | react: import { IconBan16 } from '@koobiq/react-icons'                                 | angular: import { KbqBan16 } from '@koobiq/angular-icons' (selector: kbqBan16)                                                                 |
| ban-dot                                  | sizes: 16, 24             | tags: block, partial, prohibit, unavailable, блок, блокировать, запрет, запретить, недоступно, точка, частично                                                                                            | react: import { IconBanDot16 } from '@koobiq/react-icons'                              | angular: import { KbqBanDot16 } from '@koobiq/angular-icons' (selector: kbqBanDot16)                                                           |
| band-aid                                 | sizes: 16, 24             | tags: bandage, bandaid, fix, heal, plaster, repair, пластырь, помощь, ремонт                                                                                                                              | react: import { IconBandAid16 } from '@koobiq/react-icons'                             | angular: import { KbqBandAid16 } from '@koobiq/angular-icons' (selector: kbqBandAid16)                                                         |
| bars-arrow-left                          | sizes: 16, 24             | tags: collapse, navigation, влево, навигация, свернуть, стрелка                                                                                                                                           | react: import { IconBarsArrowLeft16 } from '@koobiq/react-icons'                       | angular: import { KbqBarsArrowLeft16 } from '@koobiq/angular-icons' (selector: kbqBarsArrowLeft16)                                             |
| bars-arrow-right                         | sizes: 16, 24             | tags: expand, navigation, вправо, навигация, развернуть, стрелка                                                                                                                                          | react: import { IconBarsArrowRight16 } from '@koobiq/react-icons'                      | angular: import { KbqBarsArrowRight16 } from '@koobiq/angular-icons' (selector: kbqBarsArrowRight16)                                           |
| bars-bold-horizontal                     | sizes: 16, 24             | tags: event, pattern, project, template, образец, проект, событие, шаблон                                                                                                                                 | react: import { IconBarsBoldHorizontal16 } from '@koobiq/react-icons'                  | angular: import { KbqBarsBoldHorizontal16 } from '@koobiq/angular-icons' (selector: kbqBarsBoldHorizontal16)                                   |
| bars-horizontal                          | sizes: 16, 24, 32         | tags: bars, project, гамбургер, меню, проект                                                                                                                                                              | react: import { IconBarsHorizontal16 } from '@koobiq/react-icons'                      | angular: import { KbqBarsHorizontal16 } from '@koobiq/angular-icons' (selector: kbqBarsHorizontal16)                                           |
| bars-progress                            | sizes: 16, 24             | tags: to-do, дела, задачи                                                                                                                                                                                 | react: import { IconBarsProgress16 } from '@koobiq/react-icons'                        | angular: import { KbqBarsProgress16 } from '@koobiq/angular-icons' (selector: kbqBarsProgress16)                                               |
| bars-sort-bottom                         | sizes: 16, 24             | tags: внизу, полосы, сортировка                                                                                                                                                                           | react: import { IconBarsSortBottom16 } from '@koobiq/react-icons'                      | angular: import { KbqBarsSortBottom16 } from '@koobiq/angular-icons' (selector: kbqBarsSortBottom16)                                           |
| bars-sort-center                         | sizes: 16, 24             | tags: полосы, сортировка, центр                                                                                                                                                                           | react: import { IconBarsSortCenter16 } from '@koobiq/react-icons'                      | angular: import { KbqBarsSortCenter16 } from '@koobiq/angular-icons' (selector: kbqBarsSortCenter16)                                           |
| bars-sort-top                            | sizes: 16, 24             | tags: вверху, полосы, сортировка                                                                                                                                                                          | react: import { IconBarsSortTop16 } from '@koobiq/react-icons'                         | angular: import { KbqBarsSortTop16 } from '@koobiq/angular-icons' (selector: kbqBarsSortTop16)                                                 |
| bars-vertical                            | sizes: 16, 24             | tags: project, проект                                                                                                                                                                                     | react: import { IconBarsVertical16 } from '@koobiq/react-icons'                        | angular: import { KbqBarsVertical16 } from '@koobiq/angular-icons' (selector: kbqBarsVertical16)                                               |
